dr7objid,ra,dec,length_avg,length_stdev,width_avg,width_stdev,length_scaled,bar_meas,gz2id,kind,z,abs_mag,color(g-r),galaxyid,mass,Mr,Redshift
587736546317369464,239.46672,4.2623099,7.6998210999999985,1.3909564,2.5327192000000003,1.034071,0.44954909,6,3831.0,Unclassifiable,0.0257562,-20.4497223,0.951557,372982.0,10.529186,-21.23345,0.0257562
587736546317893676,240.61333,4.2424606,19.465734,2.9210178,4.723564700000002,2.7930578,0.69145919,4,15595.0,Composite,0.0541044,-21.1775608,0.8088706,373004.0,10.713526,-22.000823999999998,0.0541044
587736546849456308,228.62972,5.7831928,11.154451,0.89751284,2.2565614,0.96316933,0.47211017,5,27631.0,SF,0.0510148,-20.6419373,0.8718908000000001,373424.0,10.537409,-21.450142,0.0510148
587736546851094842,232.27215,5.4100667,6.0853943,2.0457579,1.6967755,0.96949103,0.27944035,4,52469.0,low S/N SF,0.03659880000000002,-19.3818302,0.4596139,373510.0,9.66644,-20.2346,0.03659880000000001
587736546851553490,233.44893,5.2915261,13.126576000000002,1.2853251,3.3427839999999995,1.4897822,0.71768535,5,4373.0,unmatched,0.032764,,,,,-21.693659,0.032764
587736546851618848,233.46103,5.273702200000002,10.383169,1.1121016,3.0019685000000003,1.2123335,0.38778321,6,4252.0,AGN non-Liner,0.032449,-20.806776,0.8677214,373536.0,10.574558999999999,-21.685766,0.032449
587736547384295690,223.95896,6.587286,7.8757542,2.4024650000000003,2.3852372,0.50721737,0.40218834,5,160614.0,SF,0.0453522,-18.864694600000004,0.3326311,373892.0,9.328249000000001,-19.878582,0.0453522
587736547385999441,227.85099,6.3441662,11.522936,1.4420394,2.4363994,0.70222,0.46480642,9,9888.0,SF,0.039725,-20.7085514,0.7678187,373974.0,10.528907,-21.605232,0.039725
587736547386327292,228.6857,6.1097727,7.8399922,0.97605702,1.9352987,0.62306241,0.67407172,5,29204.0,low S/N SF,0.0359452,-19.8214817,0.9128863000000002,374034.0,10.226624000000001,-20.612732,0.0359452
587736547386523891,229.01081,6.1322554,5.9179442,0.62472861,1.3902582,0.26892816,0.33505926,4,54266.0,SF,0.0330706,-19.1297722,0.3717928,374043.0,9.504021,-19.962843,0.0330706
587736584426094619,210.08383,38.915425,10.462492,0.77756265,2.2542931,0.47980436,0.40557514,5,167.0,Low S/N Liner,0.0180046,-21.3521938,0.8021191,380893.0,10.74114,-22.142403,0.0180046
587736584428585177,217.01163,37.00563,5.3798688,0.81575548,1.1270813,0.17536864,0.31735642,3,21977.0,low S/N SF,0.036201599999999994,-19.9700089,0.5123119,380990.0,9.986583,-20.843483,0.036201599999999994
587736584429306061,219.01077,36.503196,3.5641583,0.58403819,0.53562964,0.19384101,0.49752071,5,3304.0,Unclassifiable,0.0138964,-19.1130333,0.8526654,381008.0,9.884136999999999,-19.958332000000002,0.0138964
587736584431534282,224.51136,34.349771000000004,9.9067094,1.5180918,2.5633905,0.83015824,0.38201748,3,15413.0,Low S/N Liner,0.056986300000000004,-21.2037277,0.8856735000000001,381088.0,10.785325,-22.122318,0.056986300000000004
