name,ra,dec,z,flux_oiii,petro_abs_mag,central
J110839.62+001703.6,167.16509,0.28432082,0.024813299999999996,-14.789935,-19.700990700000002,1
J111045.80+004238.0,167.69085,0.71056072,0.15362,-15.260898999999998,-21.4658337,1
J111040.53+011027.0,167.66889,1.1741531,0.0973053,-15.470851999999999,-21.013887399999998,0
J111056.82+010045.6,167.73675,1.0126584,0.0972325,-14.923841,-20.7371597,0
J111222.08+001844.7,168.092,0.3124248,0.0553123,-15.673960000000001,-19.2660828,1
J111306.48+000455.2,168.27702,0.081989517,0.0791921,-15.262225,-20.237222699999997,0
J112111.55-001737.8,170.29814,-0.29383142,0.098437,-14.997333,-21.770483,0
J111812.06-010435.1,169.55024,-1.0764283000000001,0.188387,-15.357933,-21.4862156,1
J111948.75-001929.8,169.95313000000002,-0.32493408,0.147831,-15.195897,-20.999631899999997,1
J111555.44-004625.8,168.98102,-0.773836,0.0272439,-15.551255,-18.976194399999997,1
J111647.04-000600.8,169.19601,-0.10021203,0.0393171,-15.193132,-19.4346085,1
J111640.31-001239.7,169.16794,-0.2110315,0.0728597,-15.203331,-20.194025,1
J111546.28-003011.2,168.94283000000001,-0.5031076,0.10286,-14.834841,-20.380785,1
J111559.50-002058.9,168.99792,-0.34969339,0.0259519,-14.822913,-19.688364,1
