name,ra,dec,z,lum_oiii,petro_abs_mag,central,gz2id
J135449.59+582316.6,208.70663,58.387945,0.060977,40.87973425187861,-19.7021179,0,154180
J163631.29+420242.5,249.13037000000003,42.045129,0.060982000000000015,40.559808000000004,-20.5353203,1,59749
J115019.55+534724.2,177.58145,53.790064,0.061002,41.12010521819706,-20.9616661,0,27168
J073956.02+402816.3,114.98341,40.471183,0.06107000000000001,39.561115,-19.4163857,1,220577
J152000.60+303146.0,230.00249,30.529448,0.061089,39.921397,-19.6202259,1,190155
J120901.10+563343.9,182.2546,56.562183,0.061438,40.306559938656555,-20.471344,0,59919
J081700.41+343556.3,124.25169,34.598985,0.061741,40.96102,-20.1966305,1,79138
J102148.90+030732.2,155.45375,3.125617,0.061838,40.712443,-20.6337337,1,46089
J212401.90-002158.8,321.00792,-0.36632,0.061864,40.872823999999994,-20.9432201,1,34839
J120356.25+595036.1,180.98439,59.843348,0.061923,40.6336884972419,-20.378549600000003,0,64057
J120655.63+501737.2,181.73181,50.293656,0.06198500000000001,40.834595,-20.8402252,1,39434
J131514.47+593829.4,198.81028,59.64150600000001,0.061996,40.744756,-20.8675308,1,37435
J080325.87+453400.4,120.85779,45.566777,0.062098,40.086247087667715,-19.9661579,0,123935
